1001|Chieftain Horgrak|REGULAR|SMALL|10.00|300.00k|15.00k|30.00k|16.00k|105.00k|(5 5),(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500)
1002|Ataxes|REGULAR|SMALL|10.00|4.00m|200.00k|400.00k|210.00k|1.40m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1003|Briareus the Butcher|REGULAR|SMALL|10.00|9.00m|450.00k|900.00k|1.08m|3.15m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1004|Bloodmane|REGULAR|SMALL|10.00|14.00m|700.00k|1.40m|735.00k|4.90m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1005|Ironclad|REGULAR|SMALL|10.00|20.00m|1.00m|2.00m|1.05m|7.00m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1006|Gunnar the Berserk|REGULAR|SMALL|10.00|24.00m|1.20m|2.40m|2.88m|8.40m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1007|Maraak the Impaler|REGULAR|SMALL|10.00|30.00m|1.50m|3.00m|1.55m|10.50m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1008|Hargamesh|REGULAR|SMALL|10.00|36.00m|1.80m|3.60m|1.89m|12.60m|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1009|Dragon's Lair|REGULAR|SMALL|13.00|1.50b|576.923077m|11.538461539b|150.00m|675.00m|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
1010|Krugnug|REGULAR|SMALL|25.00|4.00b|80.00m|160.00m|100.00m|1.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1011|Thaltherda the Sea-Slitherer|REGULAR|SMALL|25.00|7.50b|150.00m|300.00m|120.00m|1.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1012|Countess Serpina|REGULAR|SMALL|15.00|187.50m|6.25m|12.50m|24.375m|24.375m|(10 50),(50 100),(100 250),(250 500),(500 1000),(1000 2000)
1013|Warlord Zugen|REGULAR|SMALL|25.00|10.00b|200.00m|400.00m|120.00m|1.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1014|Nereidon the Sea-Slayer|REGULAR|SMALL|30.00|15.00b|250.00m|500.00m|330.00m|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1015|Mestr Rekkr Rematch|REGULAR|SMALL|25.00|18.00b|360.00m|720.00m|250.00m|3.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1016|Ghostly Alchemist|REGULAR|SMALL|25.00|20.00b|400.00m|800.00m|500.00m|1.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1017|Master Ninja Bakku|REGULAR|SMALL|25.00|22.00b|440.00m|880.00m|1.00b|2.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1018|Valtrias|REGULAR|SMALL|25.00|25.00b|500.00m|1.00b|500.00m|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1019|Bad Blood|REGULAR|SMALL|30.00|32.00b|53.333333334b|106.666666667b|1.00b|5.00b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
1020|Frost the Snow Dragon|REGULAR|SMALL|20.00|60.00b|1.50b|3.00b|2.50b|7.50b|(10 10),(50 25),(100 50),(250 100),(500 250),(1000 500),(5000 1000)
